Name,Industry,Symbol,LTP,SMA50,SMA200,RSI(14),"MACD(12,26,9)","Stochastic(20,3)",MFI(14),ADX(14),P/E,Debt to Equity,EPS(Rs),BVPS(Rs),Net Profit(Rs. Cr),DPS(Rs),NPM_per,ROE_per,YTD_per,1 Week_per,1 Month_per,3 Months_per ,6 Months_per ,1 Year_per,2 Years_per,3 Years_per
MphasiS,Information Technology,MPHASIS.NS,2036.45,2057.35,2519.12,50.8,-19.71,51.66,51.84,19.42,51.22,0.08,65.93,236.8,1430,46,0,27.77,-40.05,4.45,-3.29,-13.48,-17.82,-41.05,53.57,124.5
Muthoot Finance,Financial Services,MUTHOOTFIN.NS,1080.5,1046.2,1161.05,53.03,15.84,48.49,53.49,25.29,13,3.02,92.79,379.84,3818,20,0,24.42,-27.76,-3.35,6.44,3.88,-5.12,-34.99,-9.03,53.99
Nestle,Fast Moving Consumer Goods,NESTLEIND.NS,20097.9,19440.01,18358.92,53.31,210.95,53.78,43.36,21.51,0,0.02,222.46,216.19,-,200,0,102.89,1.99,-1.09,6.18,2.11,23.92,3.27,19.36,40.59
NTPC,Power,NTPC.NS,169.95,168.12,151.98,48.48,1.63,39.39,50.01,14.37,8.12,1.33,16.62,132.06,15940,7,0,12.58,36.62,-1.99,2.94,7.06,14.64,26.55,86.96,44.82
ONGC,Oil Gas & Consumable Fuels,ONGC.NS,142.9,132.54,148.67,71.83,2.81,97.44,89.73,28.53,5.12,0.03,32.04,188.51,47830,10.5,0,16.99,0.35,3.07,11.99,2.11,-6.91,-9.07,96.7,5.42
One 97 Paytm,Financial Services,PAYTM.NS,601.45,672.24,692.62,31.15,-14.74,1.8,38.21,13.99,-14.28,0,-37,211.29,-2350,0,0,-16.95,-54.93,-6.56,-11.75,-23.27,1.68,0,0,0
PI Industries,Chemicals,PIIND.NS,3379.25,3179.56,2876.76,57.41,85.43,51.67,62.64,42.34,52.19,0.04,54.03,397.28,840,6,0,13.57,11.37,-6.75,12.1,-0.32,40.7,15.63,44,135.51
Pidilite Ind,Chemicals,PIDILITIND.NS,2682.45,2713.23,2450.19,54.52,-4.01,71.33,55.2,22.27,98.33,0.02,24.96,126.24,1194,10,0,19.76,8.92,1.14,2.39,0.63,26.85,9.72,69.67,103.73
Power Grid Corp,Power,POWERGRID.NS,217.1,219.04,219.05,47.2,-0.34,27.7,57.75,18.05,8.85,1.77,24.51,109.17,16745,14.75,0,22.44,6.21,-0.75,2.09,-5.13,-7.7,15.72,53.97,54.26
P and G,Fast Moving Consumer Goods,PGHH.NS,14004.15,14157.07,14267.68,49.36,-36.75,50.93,38.78,13.83,0,0,200.79,220.05,-,235,0,91.25,-9.41,0.53,1.32,-4.48,5.45,-7.26,29.05,25.48
Reliance,Oil Gas & Consumable Fuels,RELIANCE.NS,2592.35,2495.64,2520.03,59.1,40.3,77.62,61.96,28.47,44.48,0.41,59.24,697.01,67565,8,0,8.28,9.47,-0.45,9.35,-2.22,6.8,2.96,29.47,77.92
MOTHERSON,Automobile and Auto Components,MOTHERSON.NS,72.15,73.23,85.69,57.87,0,81.18,90.08,31.25,41.88,0.17,3.33,68.47,1165,0.65,0,3.76,-51.53,5.64,3.96,-15.81,-10.34,-56.71,-16.75,-19.5
SBI Card,Financial Services,SBICARD.NS,811.05,882.8,840.44,37.88,-20.57,13.17,38.87,38.44,0,2.87,10.48,67.01,-,0,0,15.62,-12.62,-0.39,-4.23,-15.64,12.2,-24.94,2.72,0
SBI Life Insura,Financial Services,SBILIFE.NS,1254.9,1260.78,1172.12,50.56,2.11,63.76,58.12,16.27,0,0,14.56,131.26,-,2.5,0,11.09,4.92,-0.7,6.37,-4.18,20.13,8.84,49.31,25.13
Shree Cements,Construction Materials,SHREECEM.NS,23253.75,22140.69,22310.54,61.01,428.6,85.47,77.48,24.52,35.94,0.12,668.69,4786.83,2336,90,0,13.76,-13.83,0.75,9.75,8.46,5.79,-17.36,-0.47,19.06
Siemens,Capital Goods,SIEMENS.NS,2880.1,2870.65,2567.91,50.5,16.93,51.94,72.72,20.44,0,0,30.97,290.55,1050,8,0,10.66,21.97,-1.24,4.87,-1.21,25.23,22.4,110.34,82.77
SRF,Chemicals,SRF.NS,2369.45,2555.71,2436.05,38.13,-46.05,15.4,20.98,18.73,52.68,0.36,50.86,256.35,1888,16.75,0,19.76,-2.09,-0.91,-5.09,-4.99,5.62,8.19,130.7,268.42
SBI,Financial Services,SBIN.NS,599.75,559.72,510.25,61.94,14.79,70.35,68.97,29.35,13.91,0,35.49,313.84,43775,7.1,11.49,11.3,30.25,-2.57,13.76,14.03,31.81,21.14,161.16,86.32
Sun Pharma,Healthcare,SUNPHARMA.NS,1018.65,954.81,897.66,60.52,18.16,50.61,59.09,43.32,-2286.88,0.2,-0.4,102.48,3405,10,0,-0.4,20.45,0.5,4.34,11.38,15.02,27.58,98.18,145.43
TCS,Information Technology,TCS.NS,3355.35,3135.55,3370.47,70.92,54.39,95.23,62.46,16.72,35.84,0,104.34,210.86,38449,43,0,49.48,-10.25,4.33,8.27,-1.1,-0.64,-5.65,25.65,54.31
TATA Cons. Prod,Fast Moving Consumer Goods,TATACONSUM.NS,769.55,785.39,764.23,48.22,-2.56,49.24,58.09,12.31,80.89,0,9.61,127.62,1078,6.05,0,7.53,3.51,-0.08,1.09,-1.28,4.63,-7.66,49.09,158.46
Tata Motors,Automobile and Auto Components,TATAMOTORS.NS,431.55,419.39,436.99,57.03,4.94,79.94,77.7,16.16,-119.49,1.16,-3.63,52.08,-11234,0,0,-6.97,-10.54,-0.37,8.91,-11.9,6.46,-16.86,189.92,156.04
Tata Power,Power,TATAPOWER.NS,224.6,226.98,230.97,47.69,1.31,46.2,72.87,19.43,23.7,2.27,10.07,34.05,212,1.75,0,25.57,1.65,-2.92,4.03,-4.83,-0.88,-8.14,301.43,312.11
Tata Steel,Metals & Mining,TATASTEEL.NS,106.55,103.24,109.97,57.6,1.51,69.87,59.53,14.4,4.84,0.29,270.33,1026.15,41100,51,0,26.31,-4.14,0.42,6.44,-5.71,-3.44,-13.29,116.48,170.09
Tech Mahindra,Information Technology,TECHM.NS,1066.85,1050.51,1184.86,55.3,4.7,65.92,63.97,12.11,29.7,0,50.48,265.99,5630,45,0,19,-40.42,3.71,4.61,-1.01,-10.28,-33.32,26.98,41.88
Titan Company,Consumer Durables,TITAN.NS,2644.3,2658.05,2420.9,46.11,5.62,30.03,55.95,15.84,103.26,0.02,24.56,105.57,2198,7.5,0,23.25,4.83,-2.72,1.01,6.03,25.35,4.45,105.49,128.26
Torrent Pharma,Healthcare,TORNTPHARM.NS,1619,1575.65,1454.8,49.15,22.05,32.98,71.54,28.72,47.65,0.53,58.59,373.29,777,48,0,15.61,-1.23,-1.98,1.5,2.88,25.44,16.1,18.69,81.69
UltraTechCement,Construction Materials,ULTRACEMCO.NS,6912,6507.39,6382.58,64.25,146.75,81.73,72.42,31.92,26.95,0.2,245,1706.82,7332,38,0,14.34,-8.95,0.12,11.63,3.85,14.95,-12.31,40.83,69.52
United Spirits,Fast Moving Consumer Goods,MCDOWELL-N.NS,888.7,853.97,833.83,56.7,12.85,74.41,58.44,20.59,83.89,0,10.59,67.47,810,0,0,15.7,-1.06,1.37,7.92,9.53,9.59,-4.97,59.9,42.31
UPL,Chemicals,UPL.NS,767.5,713.43,738.95,66.64,18.7,85.18,75.3,32.83,50.01,0.2,15.39,107.2,4303,10,0,14.33,2.73,1.84,13.15,-2.67,-4.33,-1.61,78.8,44.73
Vedanta,Metals & Mining,VEDL.NS,311.95,285.47,312.49,60.26,9.33,75.15,61.87,29.53,8.7,0.47,46.36,208.73,23709,45,0,22.2,-8.57,1.41,8.37,18.84,8.64,-6.25,188.71,119.53
Wipro,Information Technology,WIPRO.NS,398.25,396.96,470.06,55.97,0.34,74.54,62.61,19.65,26.66,0.14,22.2,99.14,12237,6,0,22.32,-44.33,1.87,5.55,-8.89,-14.9,-39.79,15.28,57.69
Zomato,Consumer Services,ZOMATO.NS,68.7,63.45,68.41,58.38,1.69,53.77,74.95,21.48,-54.14,0,-1.52,21.94,-1222,0,0,-6.54,-50,5.21,10.99,6.93,21.81,-56.41,0,0
